name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,tax_id,primary_address,customer_primary_contact,disabled
KH-00207,HỘ KINH DOANH KEM ỐNG HƯƠNG XƯA,KEMONGHUONGXUA,Individual,,Việt Nam,,VND,1701500764,"60, đường D1 - KDC Phú Hòa 1, tổ 7, khu 4, Phường Phú Lợi, Thành phố Hồ Chí Minh",,0
KH-00208,CÔNG TY TNHH Y KHOA SÀI GÒN KHANG HOÀNG,KHANGHOANG,Company,,Việt Nam,,VND,0314587660,"278/3 quốc lộ 1K, khu phố Tân Hòa, phường Đông Hòa, thành phố Hồ Chí Minh",,0
KH-00209,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI KIMBON,KIMBON,Company,,Việt Nam,,VND,3703269627,"Số nhà 237, Tổ 9, Ấp Hiệp Thọ, Xã Dầu Tiếng, TP Hồ Chí Minh",,0
KH-00210,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI KIM CHÂU,KIMCHAU,Company,,Việt Nam,,VND,0318254101,"Số 243A/68/1 Hoàng Diệu, Phường Khánh Hội, TP Hồ Chí Minh",,0
KH-00211,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI KIM HIỀN,KIMHIEN,Company,,Việt Nam,,VND,,"Đường số 9/1, tổ 14, khu phố Thiên Bình, Phường Tam Phước, Tỉnh Đồng Nai, Việt Nam",,0
KH-00212,CÔNG TY TNHH HÓA CHẤT NAM GIA PHÁT,KIREI ALOOO,Company,,Việt Nam,,VND,,"Số 10/M6, KP1, phường Long Bình Tân, thành phố Biên Hòa, tỉnh Đồng  Nai",,0
KH-00213,anh Hải túi nem Phát Tài,Anh Hải Túi Nem Phát Tài,Individual,,Việt Nam,,VND,,"43 Tân Trụ, Phường 15, Quận Tân Bình, TP.HCM",,0
KH-00214,Anh Khoa - Túi in lụa mặt trời bé con,In Lụa Mặt Trời Bé Con,Individual,,Việt Nam,,VND,,,,0
KH-00215,Anh Sơn túi mỡ bò,Anh Sơn Túi Mỡ Bò,Individual,,Việt Nam,,VND,,,,0
KH-00216,CÔNG TY TNHH NHÀ HÀNG HÀN QUỐC MS. BARUN,Hàng HÀN Quốc MS. BARUN,Company,,Việt Nam,,VND,0317448658,"Số 39 Đường Nội Khu khu phố Phú Mỹ Hưng - Midtown, Lô M6, Phường Tân Mỹ, TP Hồ Chí Minh",,0
