bom_no,item_code,item_name,qty,uom,scrap_pct,note
BOM-TP-00030-001,BTP-00001,Cuộn 888 - Phấn Thơm,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00030-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00030-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00031-001,BTP-00001,Cuộn 888 - Phấn Thơm,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00031-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00031-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00032-001,BTP-00001,Cuộn 888 - Phấn Thơm,358.75,m,2.5,Bước cắt dao 350.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00032-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00032-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00033-001,BTP-00001,Cuộn 888 - Phấn Thơm,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00033-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00033-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00034-001,BTP-00001,Cuộn 888 - Phấn Thơm,358.75,m,2.5,Bước cắt dao 350.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00034-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00034-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00035-001,BTP-00001,Cuộn 888 - Phấn Thơm,307.5,m,2.5,Bước cắt dao 300.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00035-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00035-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00036-001,BTP-00009,Cuộn FUTA Xanh MT,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00036-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00036-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00037-001,BTP-00001,Cuộn 888 - Phấn Thơm,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00037-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00037-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-BTP-00001-001,NVL-00028,PET in 888 - Phấn Thơm,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00001-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
