item_code,item_name,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location
TRUC-G4012179,Bộ trục in ống đồng Bluum 3Kg Đen (G4012179),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4012179,800.0,564.0,0,Kho VẠN PHÁT
TRUC-G4012417,Bộ trục in ống đồng 888 0.6Kg (G4012417),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4012417,750.0,456.0,0,Kho VẠN PHÁT
TRUC-G4012418,Bộ trục in ống đồng 888 0.6Kg (G4012418),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4012418,750.0,456.0,0,Kho VẠN PHÁT
TRUC-G4012676,Bộ trục in ống đồng Không Tên (G4012676),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4012676,800.0,564.0,0,Kho TUỆ NHI
TRUC-G4005887,Bộ trục in ống đồng Minh Râu 3.2Kg (G4005887),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005887,780.0,564.0,0,Kho KIẾN TÂM
TRUC-G4005883,Bộ trục in ống đồng Minh Râu 3.2Kg (G4005883),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005883,780.0,564.0,0,Kho KIẾN TÂM
TRUC-G4012178,Bộ trục in ống đồng Bluum 3Kg Xanh (G4012178),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4012178,800.0,564.0,0,Kho VẠN PHÁT
TRUC-Z437761,Bộ trục in ống đồng Yaourt Hoa Hồng (Z437761),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z437761,435.0,350.0,0,Kho VẠN PHÁT
TRUC-G4005877,Bộ trục in ống đồng 888 0.6Kg - (G4005877),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005877,750.0,456.0,0,Kho VẠN PHÁT
TRUC-G4006655,Bộ trục in ống đồng 888 0.6Kg - (G4006655),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006655,750.0,456.0,0,Kho VẠN PHÁT
TRUC-G4006660,Bộ trục in ống đồng 888 0.6Kg - (G4006660),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006660,750.0,456.0,0,Kho VẠN PHÁT
