item_code,item_name,custom_alias,item_group,stock_uom,brand,default_material_request_type,standard_rate,min_order_qty,safety_stock,disabled,is_stock_item,is_sales_item,is_purchase_item,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location,description
TRUC-G4002697,TÚI NƯỚC GIẶT SOFIA 3KG XANH (HƯƠNG LYLY),Trục NƯỚC GIẶT SOFIA 3KG XANH,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4002697,850,526,5,VẠN PHÁT,
TRUC-Z418556,TÚI NƯỚC GIẶT CLEAN (CLEANZ) 3.6L,Trục NƯỚC GIẶT CLEAN 3.6L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z418556,900,568,8,VẠN PHÁT,
TRUC-G630657,TÚI NƯỚC GIẶT CLEAN (CLEANZ) 2L,Trục NƯỚC GIẶT CLEAN 2L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630657,800,466,8,VẠN PHÁT,
TRUC-G628929,TÚI MÈ VỎ MINH CHÂU 1KG,Trục MÈ VỎ MINH CHÂU 1KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G628929,800,440,5,VẠN PHÁT,
TRUC-G631044,TÚI CÀ PHÊ BẢO TRÂN THƯỢNG HẠNG 500G,Trục CÀ PHÊ BẢO TRÂN THƯỢNG HẠNG 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G631044,800,550,4,VẠN PHÁT,
TRUC-G630788,CUỘN MÀNG CÀ PHÊ VIỆT FARM 16G,Trục Cuộn MÀNG CÀ PHÊ VIỆT FARM 16G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630788,800,468,7,VẠN PHÁT,
TRUC-G628231,TÚI THỨC ĂN CHO CHIM 500G,Trục THỨC ĂN CHO CHIM 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G628231,800,480,5,VẠN PHÁT,
TRUC-G628230,TÚI THỨC ĂN CHO CHIM 200G,Trục THỨC ĂN CHO CHIM 200G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G628230,800,480,8,VẠN PHÁT,
TRUC-G627954,TÚI MUỐI TÔM MUỐI ỚT,Trục MUỐI TÔM MUỐI ỚT,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G627954,800,460,5,VẠN PHÁT,
TRUC-G630103,TÚI HẠT HƯỚNG DƯƠNG SẠCH RANG CỦI LOẠI ĐẶC BIỆT 500G,Trục HẠT HƯỚNG DƯƠNG SẠCH RANG CỦI LOẠI ĐẶC BIỆT 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630103,800,540,1,VẠN PHÁT,
